Collection_ID,Slide_ID,Gen,Clade,Morph,a3_length,a4_length,a5_length,abdomen_width,antenna_length,body_length,body_width,cauda_length,cauda_width,compound_eye_width,forewing_length,hindwing_length,metafemur_length,metatarsomere_length,metatibia_length,n_a3_sensoria,n_a3_setae,n_a4_sensoria,n_a4_setae,n_a5_sensoria,n_a5_setae,n_antennal_segments,n_apical_antenna_setae,n_apical_head_setae,n_bilobed_anal_plate_setae,n_cauda_long_setae,n_cauda_short_setae,n_genital_plate_setae,n_hindwing_hooklets,n_metacoxa_setae,n_metafemur_setae,n_metatarsus_1_setae,n_metatarsus_2_setae,n_metatibia_apical_setae,n_metatibia_setae,n_pedicel_setae,n_rostrum_2_setae,n_scape_setae,n_urs_secondary_setae,pedicel_length,protibia_length,rostrum_length,thorax_width,urs_length,urs_width
23-129d,II-H-18,2,H,alate,0.299151705,0.128596634,0.12755882,0.851458943,NA,1.954117567,NA,0.034558451,0.047385435,0.139072334,2.497885229,1.520967769,0.386507341,0.09896416,0.486870932,29,NA,12,NA,11,NA,NA,4,NA,16,2,5,25,2,3,22,3,NA,6,38,NA,NA,NA,6,0.043168698,0.330564737,0.355595,0.878778975,0.072893413,0.051197603
23-129e,II-H-19,2,H,alate,0.298330541,0.131491932,0.127945048,0.961482984,NA,NA,NA,0.048313506,0.0468269,0.170407943,2.49448929,1.610387177,0.402655261,0.116607263,0.493798961,31,NA,12,NA,11,NA,NA,5,NA,16,2,6,22,2,4,20,3,NA,6,34,NA,NA,NA,6,0.053180261,0.327741272,0.360172802,0.865594578,0.081394,0.052558903
23-129f,II-H-20,2,H,alate,0.296130207,0.124162402,0.1278389,0.874462596,NA,1.70367815,NA,0.041309992,0.044773941,0.123948928,2.527720306,1.560958849,0.379981471,0.111371566,0.471868314,26,NA,12,NA,10,NA,NA,5,NA,14,2,4,22,2,5,18,3,NA,6,35,NA,NA,NA,4,0.040018084,0.314315648,0.332916609,0.819998352,0.079518611,0.05888341
24-75a,II-H-07,2,H,alate,0.275475539,0.141669102,0.113316697,0.933646256,NA,1.820882489,NA,0.028788418,0.035044625,0.161743188,2.642974454,1.590250562,0.406387136,0.105821815,0.474045209,26,NA,12,NA,11,NA,NA,4,NA,14,2,5,24,2,3,17,2,NA,3,39,NA,NA,NA,5,0.043291674,0.332186537,0.372384226,0.798933274,0.06416305,0.05340657
24-75b,II-H-08,2,H,alate,0.284779357,0.126228747,0.123141019,1.129352833,NA,2.087727759,NA,0.036926579,0.044007756,0.146808128,2.676726403,1.688052952,0.400769123,0.108984792,0.490992967,26,NA,12,NA,10,NA,NA,3,NA,15,2,4,20,3,3,15,2,NA,5,38,NA,NA,NA,6,0.040808366,0.323953175,0.339930194,0.875947824,0.070005723,0.044536615
24-75c,II-H-09,2,H,alate,0.302220264,0.136209586,0.139161166,1.104547773,NA,2.260986366,NA,0.043254918,0.050696807,0.115942408,2.641420655,1.610934176,0.420768685,0.113913059,0.498851172,24,NA,12,NA,11,NA,NA,4,NA,16,2,6,29,2,3,18,3,NA,6,40,NA,NA,NA,2,0.036341675,0.341780018,0.339524876,0.901763757,0.083480432,0.047868408
24-75d,II-H-10,2,H,alate,0.288656271,0.140889369,0.127592085,1.107830677,NA,2.162623807,NA,0.039590443,0.043523751,0.158016431,2.584513862,NA,0.404643722,0.108908837,0.490798455,24,NA,14,NA,10,NA,NA,4,NA,16,2,4,26,2,3,17,2,NA,6,43,NA,NA,NA,5,0.04148714,0.324761535,0.311259266,0.836472134,0.06738249,0.037541548
23-082,II-L-14,2,L,alate,0.248252005,0.12668462,0.102774072,0.957868442,NA,1.877554378,NA,0.03690118,0.05300141,0.134965848,2.360470051,1.469953166,0.371538255,0.096940972,0.461636608,30,NA,13,NA,9,NA,NA,3,NA,18,2,8,32,2,4,19,3,NA,6,33,NA,NA,NA,6,0.043537711,0.308352966,0.37305842,0.767613905,0.08092953,0.03740064
23-105a,II-L-07,2,L,alate,0.272057656,0.151785498,0.117307913,1.025227723,NA,1.952351601,NA,0.048546157,0.053520599,0.112586373,2.480821167,1.423072107,0.419140315,0.089050287,0.507139701,29,NA,14,NA,9,NA,NA,2,NA,18,2,8,28,2,4,22,3,NA,6,40,NA,NA,NA,NA,0.049922824,0.342641084,0.326676666,0.844120128,0.066657884,0.048917722
23-105b,II-L-08,2,L,alate,0.268806201,0.118646197,0.079090371,0.930178214,NA,1.83961369,NA,0.028422061,0.059458303,0.108147771,2.174711898,1.350714267,0.44686157,0.106701061,0.356256176,34,NA,13,NA,9,NA,NA,3,NA,16,2,9,26,2,4,16,4,NA,6,34,NA,NA,NA,6,0.044477795,0.289849782,0.348237559,0.782001232,0.072795122,0.044090741
