Collection ID,GenBank Accession,Date,Location,Decimal Degrees GPS Coordinates,Host,Collector
25-35,,30v2025,"USA: WI, Dane Co., Madison, University of Wisconsin-Madison Arboretum","43.04263, -89.42646",Betula 'Royal Frost',Gavin Munson
25-36,,30v2025,"USA: WI, Dane Co., Fitchburg","43.02084, -89.41941",Betula populifolia,Gavin Munson
25-40,,31v2025,"USA: WI, Dane Co., Town of Berry, Indian Lake","43.18949, -89.62071",Betula papyrifera,Gavin Munson
25-41,,31v2025,"USA: WI, Dane Co., Town of Berry, Indian Lake","43.18932, -89.63519",Betula papyrifera,Gavin Munson
25-42,,31v2025,"USA: WI, Dane Co., Town of Berry, Indian Lake","43.18928, -89.63490",Betula nigra,Gavin Munson
25-43,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.42692, -89.72925",Betula nigra,Gavin Munson
25-44,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.42630, -89.72801",Betula nigra,Gavin Munson
25-45,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.42471, -89.72614",Betula papyrifera,Gavin Munson
25-46,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.42226, -89.72689",Betula papyrifera,Gavin Munson
25-47,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.41986, -89.72694",Betula papyrifera,Gavin Munson
25-48,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.41978, -89.72675",Betula papyrifera,Gavin Munson
25-49,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.41320, -89.72428",Betula papyrifera,Gavin Munson
25-50,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.41384, -89.72525",Betula papyrifera,Gavin Munson
25-51,,31v2025,"USA: WI, Sauk Co., Baraboo, Devil's Lake","43.42349, -89.72455",Betula papyrifera,Gavin Munson
25-52,,31v2025,"USA: WI, Dane Co., Middleton","43.10550, -89.51930",Betula nigra,Gavin Munson
25-53,,31v2025,"USA: WI, Rock Co., Beloit","42.50991, -89.03356",Betula nigra,Gavin Munson
25-54,,31v2025,"USA: WI, Rock Co., Beloit","42.50838, -89.03342",Betula papyrifera,Gavin Munson
25-55,,01vi2025,"USA: WI, Rock Co., Beloit","42.51708, -88.99974",Betula populifolia,Gavin Munson
25-56,,01vi2025,"USA: WI, Rock Co., Beloit","42.51694, -88.99970",Betula papyrifera,Gavin Munson
25-57,,01vi2025,"USA: WI, Rock Co., Beloit","42.51751, -88.99844",Betula papyrifera,Gavin Munson
25-58,,01vi2025,"USA: IL, Winnebago Co., Rockford","42.25679, -89.04784",Betula papyrifera,Gavin Munson
